"CabinetNo","FloorNo","FloorID","PartNo","PartName","Viscosity","Freq","FreqRank","PositionsAllocated","BoxesAllocated","BoxesPerPosition","PositionWidth_mm","WidthUsed_mm","PositionVolumeUsed_m3","BoxVolumeUsed_m3","PositionUtilization_pct","PercentOfFloorWidth","PercentOfFloorVolume","BoxWidth_mm","BoxDepth_mm","BoxHeight_mm","BoxesPerHeight","BoxesPerDepth","IsPrimary","IsBackfill"
23,3,"C23F3","DL3334155","PLATE-STAB",326.343377441614,1065,51,1,2,2,280,280,0.05712,0.02,35.0140056022409,14.1414141414141,14.1414141414141,280,240,240,1,2,TRUE,FALSE
23,4,"C23F4","DJ3534170","LINK-CONTROL",330.907842155486,3285,15,3,6,2,560,1680,0.34272,0.18,52.5210084033613,84.8484848484848,84.8484848484849,560,240,240,1,2,TRUE,FALSE
23,4,"C23F4","DL3334155","PLATE-STAB",326.343377441614,1065,51,1,2,2,280,280,0.05712,0.02,35.0140056022409,14.1414141414141,14.1414141414141,280,240,240,1,2,TRUE,FALSE
23,5,"C23F5","D65145915","HOLDER-PIPE",334.447542568575,451,108,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
23,5,"C23F5","9XG02913X0","PLUG 28 X 0.5-2 PNL",332.215387199424,445,109,5,40,8,240,1200,0.2448,0.16128,65.8823529411765,60.6060606060606,60.6060606060606,240,140,120,2,4,TRUE,FALSE
23,5,"C23F5","L206614H5A","CLIP",331.841901542056,444,110,2,16,8,240,480,0.09792,0.064512,65.8823529411765,24.2424242424242,24.2424242424242,240,140,120,2,4,TRUE,FALSE
24,1,"C24F1","DN3220360A","TUBE ASSY-VACUUM",321.759089327133,487,102,5,40,8,240,1200,0.2448,0.18816,76.8627450980392,60.6060606060606,60.6060606060606,240,140,140,2,4,TRUE,FALSE
24,1,"C24F1","9XG04176X7","BOLT&WSHR M6X16 HF",318.104505140176,238,136,3,48,16,240,720,0.14688,0.112896,76.8627450980392,36.3636363636364,36.3636363636364,240,140,70,4,4,TRUE,FALSE
24,2,"C24F2","DL3334155","PLATE-STAB",326.343377441614,1065,51,7,14,2,280,1960,0.39984,0.14,35.0140056022409,98.989898989899,98.989898989899,280,240,240,1,2,TRUE,FALSE
24,3,"C24F3","DJ3534170","LINK-CONTROL",330.907842155486,3285,15,1,2,2,560,560,0.11424,0.06,52.5210084033613,28.2828282828283,28.2828282828283,560,240,240,1,2,TRUE,FALSE
24,3,"C24F3","9XF003402M","BOLT",313.391585264004,792,64,4,16,4,280,1120,0.22848,0.129024,56.4705882352941,56.5656565656566,56.5656565656566,280,240,120,2,2,TRUE,FALSE
24,3,"C24F3","9YA500603","SCREW-TAPPING",309.008270295653,385,113,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
24,4,"C24F4","DL3334155","PLATE-STAB",326.343377441614,1065,51,4,8,2,280,1120,0.22848,0.08,35.0140056022409,56.5656565656566,56.5656565656566,280,240,240,1,2,TRUE,FALSE
24,4,"C24F4","9XF003402M","BOLT",313.391585264004,792,64,3,12,4,280,840,0.17136,0.096768,56.4705882352941,42.4242424242424,42.4242424242424,280,240,120,2,2,TRUE,FALSE
24,5,"C24F5","DN321006Y","PIPE SUBASSY-GAGE",312.569992161756,1954,31,3,12,4,560,1680,0.34272,0.24,70.0280112044818,84.8484848484848,84.8484848484849,560,250,150,2,2,TRUE,FALSE
24,5,"C24F5","9YA500603","SCREW-TAPPING",309.008270295653,385,113,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
