PartNo,Volume,Freq,Viscosity
DN3215202,7.77,259,92.9157324317757
ZJ3815909C,30.84,514,92.5562891794321
DN3242240,122.442666666667,1021,92.2697517909624
DP01437A6,0.849775,85,92.2076493342387
DN1439040C,7.59,253,91.8331820930394
GJ6A50897,0.137088,34,91.8288608365566
9XG09930AF,0.548352,68,91.8288608365566
DN3246086,0.84,84,91.6515138991168
DK4362761B,40.8041666666667,584,91.42407831296
DN0351721,0.540288,67,91.1511478042473
DN3237YA1,118.872,993,91.0771566062617
DN2556620B,6.80833333333333,233,89.2967218254051
DN2415185B,227.091666666667,1336,88.6555358896911
D65168615A02,0.78,78,88.3176086632785
DK4967C91B,6.96,232,87.9393730551528
DP743298002,111.18,927,87.9156920877754
DK4350YM1,0.08096256,25,87.8613541979637
GS1D51441,0.77,77,87.7496438739212
D35367519,0.124992,31,87.6840468015252
DP0413740A,109.2,910,87.0823365174209
9XF202022M,0.48297984,60,86.3349712524577
9XF055847L,0.48384,60,86.2581949177943
DK4951580D,6.6,220,85.6348838577675
B25S62877A,0.73,73,85.4400374531753
DN3466120C,18.1,362,85.0881895447306
DN3215242,0.72,72,84.8528137423857
9XG005162M,0.361284,51,84.8488209506398
DE9069220B,11.48,287,84.7053717304871
DJ3539080A,6.43,214,84.3933617195856
DK4363YH1,6.33,211,83.8649708360608
DK5166151,0.155232,33,83.7574242825613
9XF001242M,0.451584,56,83.3333333333333
DN3417530,6.162,206,82.9862945868578
D6516124YB,24.78,413,82.9658564310243
D6516124X,24.72,412,82.8653526310404
9XF002107L,0.1998,37,82.7759134763963
D65134111A,24.66,411,82.7647267862343
B00156051,6.1466025,205,82.6868213196237
9XG11215X0,0.44352,55,82.5859340804263
DK4462877,2.716,136,82.5228133763052
DN2418881C,96.96,808,82.0568908339411
DA9M18881A,23.82,400,81.9575774435764
DN0157KM0,5.97,199,81.4452781524708
9XG020422M,0.426875904,53,81.1194596761567
DN0157KN0,5.91,197,81.0349718742881
DN3266DHXE,23.4,390,80.6225774829855
DK4951580E,5.6203125,191,80.5662473451953
DN3267KB1,16.0975,323,80.5050836214446
9YA420501,0.104832,26,80.3020093049526
DN575777ZA,0.104832,26,80.3020093049526
DN3258330A68,91.92,766,79.8957654280459
DN3259330A68,91.92,766,79.8957654280459
D65146100D,31.15,445,79.7316929278619
9XG00673X0,0.63,63,79.3725393319377
DN2466600,2.04,112,78.4156847055686
DN3251580B,5.52,184,78.3156008298049
9XG14309ZA,0.387072,48,77.151674981046
C20113382,0.096768,24,77.151674981046
DJ4934111,21.3496,356,77.0468924063944
DN3237YA3,85.2,711,77.0282095755999
DP5756930,5.28,176,76.5941686205071
DN3251580A,5.25,175,76.3762615825973
9XF03923AG,0.579,58,76.2234692936314
EG2161205A,0.579793333333333,58,76.1713030171312
DR7867B21,0.58,58,76.1577310586391
DK4351146A,0.108,25,76.0725774312731
994500612,0.092736,23,75.5272472645805
D65168301A,0.092736,23,75.5272472645805
DR61664H0,2.28,114,75.4983443527075
D06142235,0.55964,56,74.8572128506961
DK5163YE3,0.362699745882353,45,74.7203483835832
C20317495,0.36288,45,74.7017880833996
D65167519,0.55,55,74.1619848709566
GJ6A42252A,0.55,55,74.1619848709566
DK5166YH1,19.6791666666667,328,73.9384754911166
9XG00092X3,0.354524994782609,44,73.8974150335389
9XG00185X0,0.088704,22,73.8671050356599
DK5157KC0A,2.18,109,73.824115301167
D65155225,4.89,163,73.7111479583199
DK4951580F,4.7371875,159,73.0527950514748
9XF003312M,0.346752,43,73.022881823722
9XG09047X0,0.346752,43,73.022881823722
DN2813382A,4.695,158,72.9187623310592
DP763298002,75.48,629,72.3993554299116
BN8V72608,0.005,5,70.7106781186548
DR7751721,0.08064,20,70.4295212273764
BN8V68AD2,4.38,146,69.7614984548545
DK4966938,18.2968,298,69.6672541419627
DK4373YA4A91,4.35,145,69.5221787153807
GAL169470B30,17.34,289,69.4022093788567
TD1156694,0.48,48,69.2820323027551
DN3466350,71.96,584,68.8441860772758
D20450896A,0.076608,19,68.6462059206595
D20550896A,0.076608,19,68.6462059206595
C23556862,0.46,46,67.8232998312527
D20167H51,16.56,276,67.8232998312527
C20140081,0.460294117647059,46,67.8016275827904
9XG03168X3,0.185136,29,67.398861387198
9XG117312M,0.4292,44,67.161876195993
DK4950YH1D95,74.68175,575,66.5365995169282
DF7532980C02,34.29,381,65.0640709864771
D65255210,60.48,504,64.8074069840786
DN3217530,0.42,42,64.8074069840786
9XG136250L,0.266112,33,63.9707894648949
DK4950YH2D95,79.93825,571,63.8643931799273
DJ3534111,14.4522,241,63.3942781543056
DN345933068,57.71875,481,63.3120852663124
DN345833068,57.6,480,63.2455532033676
DN2443490A,57.08,476,63.0035426863453
997350510,0.064512,16,62.9940788348712
9XF05142AF,0.258048,32,62.9940788348712
DK496466091,14.22,237,62.8490254498827
D65142462A,4.31,129,62.1371135608224
DK4361ZB1,13.554,226,61.3867581089189
D65151440A,3.39,113,61.3731754650732
LC6269261B75,3.36,112,61.1010092660779
DK5151146,0.06048,15,60.9937545592833
DN2809010E,0.37,37,60.8276253029822
DN63675D0,13.26,221,60.6904715201104
9XG02815X3,0.233856,29,59.9685764274104
DK4966600,3.1197,104,58.8812366722572
DN2809010C,1.36,68,58.309518948453
DN2456620B,2.9,98,57.547581512441
DN3215YA1,0.32996,33,57.4491083350362
BC0117640,0.33,33,57.4456264653803
DK4966151,0.33,33,57.4456264653803
9XG14956AJ,0.2072512512,26,57.1116578851358
994500820,0.052416,13,56.7820953224372
9XF005212M,0.209664,26,56.7820953224372
9XG032462M,0.209664,26,56.7820953224372
DF7843481A,0.32,32,56.5685424949238
DN6439070,2.88,96,56.5685424949238
Y60118371B,0.32,32,56.5685424949238
9XG10706X3,0.19724544,25,56.2906835949383
D65141920B,2.85,95,56.2731433871138
DN4851180B,45.24,377,56.0505724026675
DN4851170B,45.12,376,55.9761854124889
DK4956YB1A,44.755,373,55.7555431714821
FNF119880B,11.1,185,55.5277708298589
9XG02686X0,2.76,92,55.3774924194538
DN321886ZB,2.73,91,55.075705472861
W02343635A,0.04012848,11,54.9118822190064
9XG00876X7,0.19352448,24,54.5560962765025
D651664H0,2.67,89,54.4671154612273
9XG03063X0,2.61,87,53.8516480713451
D65156031A,0.29,29,53.851648071345
9XG13610X0,2.52,84,52.9150262212918
DK516039XA,10.0194545454545,167,52.7587419934674
9XG077595J,0.17708544,22,52.2794792994493
DK4456786A,0.27,27,51.9615242270663
DF7169451A,2.31,78,51.320232206862
DH56675D0,9.36,156,50.9901951359279
9XG02498AF,0.0756,14,50.9175077217316
ZJ3820310,9.12,152,50.3322295684717
DN3250YH495,48.99475,350,50.0026787866901
D65242451B,0.25,25,50
DD63437A6,2.25,75,50
DK5570YB2,0.25,25,50
DL4055540,2.25,75,50
DN3250YH395,48.4365,346,49.7152607934489
9XG141447L,0.147168,19,49.5275570612802
9XG067852M,0.147903247058824,19,49.40429959336
9XG015963J,0.15289344,19,48.5913734722109
9XG06169AJ,0.191296,21,48.013829974836
DN3267KB1A,8.28,138,47.9583152331272
DF7132AZ1A,8.82,141,47.4771695939539
DN016756XB,2.00325,67,47.3377080641559
BP4K6649YA,0.22,22,46.9041575982343
D35067B7XA,0.22,22,46.9041575982343
Y64520650B,0.22,22,46.9041575982343
9XF000232M,0.132943104,17,46.6246960979946
F00225421,0.00414110117647059,3,46.6190408494933
DN3518881C,0.86,43,46.3680924774785
DF7155540A,1.89,63,45.8257569495584
DN0361751,0.21,21,45.8257569495584
F5021744X,0.21,21,45.8257569495584
Y61340305,0.21,21,45.8257569495584
DK4966252,0.07128,12,44.9466574975495
C00461799A,0.2,20,44.7213595499958
DG99676N0B,0.2,20,44.7213595499958
Y60115810A,0.2,20,44.7213595499958
999400501,0.032256,8,44.5435403187374
DN0337YB3,28.1902325581395,235,44.2607259647269
Y64513H7X,0.19,19,43.5889894354067
DK5046YA1,6.84,114,43.5889894354067
DN2456620A,1.535,54,43.5852528626481
9XF055312M,0.12096,15,43.1290974588971
DN2067790A,6.6,110,42.8174419288838
DR7750660,18.3,183,42.7784992724149
